Year,Institution_raw,doctorate_by_research,masters_by_research,hdr_completions,hdr_has_suppressed_np,total_completions,source,HEP_Code,Institution_canonical,rbg_total,rbg_rtp,rbg_rsp_like,rbg_total_covid_adj
2016,Charles Darwin University(b),32.0,9.0,41.0,False,1563.0,legacy_xls_table8,3001,Charles Darwin University,14558158,0.0,7902388.0,14558158.0
2016,The Australian National University,371.0,33.0,404.0,False,6021.0,legacy_xls_table8,3033,The Australian National University,105207986,0.0,50985347.0,105207986.0
2016,University of Canberra,65.0,2.0,67.0,False,4022.0,legacy_xls_table8,2241,University of Canberra,9288863,0.0,4059682.0,9288863.0
2016,Australian Catholic University,57.0,,57.0,True,6008.0,legacy_xls_table8,3006,Australian Catholic University,6935680,0.0,3468732.0,6935680.0
2017,Charles Sturt University,86.0,,86.0,True,8949.0,legacy_xls_table8,3005,Charles Sturt University,9891873,6168180.0,3723693.0,9891873.0
2017,Macquarie University,286.0,290.0,576.0,False,9310.0,legacy_xls_table8,3025,Macquarie University,41569920,26183178.0,15386742.0,41569920.0
2017,Southern Cross University,48.0,8.0,56.0,False,2837.0,legacy_xls_table8,3038,Southern Cross University,7688850,4416941.0,3271909.0,7688850.0
2017,The University of New England,96.0,12.0,108.0,False,3639.0,legacy_xls_table8,3039,University of New England,16338615,8913576.0,7425039.0,16338615.0
2017,The University of Newcastle,230.0,18.0,248.0,False,7193.0,legacy_xls_table8,3014,University of Newcastle,44439735,23386843.0,21052892.0,44439735.0
2017,The University of Sydney,701.0,190.0,891.0,False,15453.0,legacy_xls_table8,3040,The University of Sydney,184626389,97465365.0,87161024.0,184626389.0
2017,University of New South Wales,632.0,105.0,737.0,False,13010.0,legacy_xls_table8,3013,University of New South Wales,169061785,90616087.0,78445698.0,169061785.0
2017,University of Technology Sydney,219.0,,219.0,True,10652.0,legacy_xls_table8,3016,University of Technology Sydney,28346525,16689029.0,11657496.0,28346525.0
2017,University of Wollongong,241.0,39.0,280.0,False,7063.0,legacy_xls_table8,1058,University of Wollongong,36797735,22680303.0,14117432.0,36797735.0
2017,Western Sydney University,133.0,92.0,225.0,False,9163.0,legacy_xls_table8,3004,Western Sydney University,18258370,10633202.0,7625168.0,18258370.0
2017,Deakin University,214.0,9.0,223.0,False,9539.0,legacy_xls_table8,3030,Deakin University,30310136,19018960.0,11291176.0,30310136.0
2017,Federation University Australia(a),31.0,2.0,33.0,False,3221.0,legacy_xls_table8,2154,Federation University Australia,3863999,2229434.0,1634565.0,3863999.0
2017,La Trobe University,197.0,,197.0,True,8534.0,legacy_xls_table8,3020,La Trobe University,31745202,18188206.0,13556996.0,31745202.0
2017,Monash University,779.0,,779.0,True,19662.0,legacy_xls_table8,3035,Monash University,165579081,84211508.0,81367573.0,165579081.0
2017,RMIT University,305.0,37.0,342.0,False,17799.0,legacy_xls_table8,3034,Royal Melbourne Institute of Technology,34676492,21285641.0,13390851.0,34676492.0
2017,Swinburne University of Technology,133.0,9.0,142.0,False,6996.0,legacy_xls_table8,2177,Swinburne University of Technology,18444969,11637087.0,6807882.0,18444969.0
2017,The University of Melbourne,716.0,109.0,825.0,False,19986.0,legacy_xls_table8,3036,The University of Melbourne,191256995,95762452.0,95494543.0,191256995.0
2017,University of Divinity,10.0,2.0,12.0,False,392.0,legacy_xls_table8,4331,University of Divinity,1514531,934113.0,580418.0,1514531.0
2017,Victoria University,112.0,9.0,121.0,False,7007.0,legacy_xls_table8,3007,Victoria University,11704499,7310502.0,4393997.0,11704499.0
