HEP_Code,Institution_raw,Year,Cohort,doctorate_by_research,masters_by_research,hdr_completions,hdr_has_suppressed_lt5,Institution_canonical,total_completions,rbg_total,rbg_rtp,rbg_rsp_like,rbg_total_covid_adj
3004,Western Sydney University,2010,IRU,77.0,13.0,90.0,False,Western Sydney University,,15352740,0.0,5300433.0,15352740.0
3006,Australian Catholic University,2009,non-aligned,36.0,5.0,41.0,False,Australian Catholic University,,2923053,0.0,145145.0,2923053.0
3003,Bond University ,2009,non-aligned,8.0,2.0,10.0,True,Bond University ,,1058284,0.0,96582.0,1058284.0
2200,Central Queensland University,2009,RUN,25.0,14.0,39.0,False,Central Queensland University,,4414281,0.0,186582.0,4414281.0
3001,Charles Darwin University,2009,non-aligned,17.0,2.0,19.0,True,Charles Darwin University,,7884775,0.0,1660949.0,7884775.0
3005,Charles Sturt University,2009,RUN,22.0,2.0,24.0,True,Charles Sturt University,,7384761,0.0,1303973.0,7384761.0
2236,Curtin University,2009,ATN,153.0,38.0,191.0,False,Curtin University,,27179812,0.0,2623677.0,27179812.0
3030,Deakin University,2009,ATN,131.0,16.0,147.0,False,Deakin University,,18265490,0.0,2247692.0,18265490.0
2235,Edith Cowan University,2009,non-aligned,41.0,23.0,64.0,False,Edith Cowan University,,7896417,0.0,384833.0,7896417.0
2154,Federation University Australia,2009,RUN,22.0,7.0,29.0,False,Federation University Australia,,3437434,0.0,261092.0,3437434.0
3029,Flinders University,2009,IRU,85.0,8.0,93.0,False,Flinders University,,21336074,0.0,3022742.0,21336074.0
3032,Griffith University,2009,IRU,140.0,15.0,155.0,False,Griffith University,,24960917,0.0,2672463.0,24960917.0
1019,James Cook University,2009,IRU,72.0,16.0,88.0,False,James Cook University,,16394533,0.0,2277696.0,16394533.0
3020,La Trobe University,2009,IRU,134.0,23.0,157.0,False,La Trobe University,,22590894,0.0,2510968.0,22590894.0
3025,Macquarie University,2009,non-aligned,189.0,26.0,215.0,False,Macquarie University,,23026920,0.0,3161527.0,23026920.0
3035,Monash University,2009,Go8,411.0,106.0,517.0,False,Monash University,,99972988,0.0,19255736.0,99972988.0
1034,Murdoch University,2009,IRU,87.0,9.0,96.0,False,Murdoch University,,18596803,0.0,2360849.0,18596803.0
3042,Queensland University of Technology,2009,non-aligned,165.0,66.0,231.0,False,Queensland University of Technology,,27816937,0.0,3237362.0,27816937.0
3034,Royal Melbourne Institute of Technology,2009,ATN,29.0,7.0,36.0,False,Royal Melbourne Institute of Technology,,24636475,0.0,1669328.0,24636475.0
3038,Southern Cross University,2009,RUN,74.0,8.0,82.0,False,Southern Cross University,,6399372,0.0,392962.0,6399372.0
2177,Swinburne University of Technology,2009,non-aligned,75.0,11.0,86.0,False,Swinburne University of Technology,,11470284,0.0,1155791.0,11470284.0
3033,The Australian National University,2009,Go8,291.0,30.0,321.0,False,The Australian National University,,73193802,0.0,16468895.0,73193802.0
3010,The University of Adelaide,2009,Go8,213.0,44.0,257.0,False,The University of Adelaide,,62668460,0.0,12961027.0,62668460.0
3036,The University of Melbourne,2009,Go8,577.0,198.0,775.0,False,The University of Melbourne,,149949301,0.0,29070545.0,149949301.0
3044,The University of Notre Dame Australia,2009,non-aligned,2.0,2.0,4.0,True,The University of Notre Dame Australia,,629237,0.0,61531.0,629237.0
3019,The University of Queensland,2009,Go8,493.0,59.0,552.0,False,The University of Queensland,,118098567,0.0,22676107.0,118098567.0
3040,The University of Sydney,2009,Go8,535.0,165.0,700.0,False,The University of Sydney,,137451906,0.0,25483164.0,137451906.0
1055,The University of Western Australia,2009,Go8,260.0,43.0,303.0,False,The University of Western Australia,,70993130,0.0,14269056.0,70993130.0
2241,University of Canberra,2009,IRU,24.0,2.0,26.0,True,University of Canberra,,5339785,0.0,454862.0,5339785.0
4331,University of Divinity,2009,non-aligned,18.0,21.0,39.0,False,University of Divinity,,1012056,0.0,0.0,1012056.0
3039,University of New England,2009,RUN,76.0,17.0,93.0,False,University of New England,,14088816,0.0,1466145.0,14088816.0
3013,University of New South Wales,2009,Go8,451.0,112.0,563.0,False,University of New South Wales,,104662869,0.0,17316183.0,104662869.0
3014,University of Newcastle,2009,ATN,108.0,27.0,135.0,False,University of Newcastle,,30413696,0.0,5053890.0,30413696.0
3027,University of South Australia,2009,ATN,123.0,13.0,136.0,False,University of South Australia,,21565311,0.0,2294997.0,21565311.0
2201,University of Southern Queensland,2009,RUN,49.0,16.0,65.0,False,University of Southern Queensland,,3999218,0.0,331376.0,3999218.0
3045,University of Tasmania,2009,non-aligned,162.0,30.0,192.0,False,University of Tasmania,,32155889,0.0,5723822.0,32155889.0
3016,University of Technology Sydney,2009,ATN,153.0,41.0,194.0,False,University of Technology Sydney,,19347640,0.0,2607517.0,19347640.0
3043,University of the Sunshine Coast,2009,RUN,18.0,7.0,25.0,False,University of the Sunshine Coast,,1203755,0.0,77929.0,1203755.0
1058,University of Wollongong,2009,non-aligned,152.0,43.0,195.0,False,University of Wollongong,,23865394,0.0,3621387.0,23865394.0
3007,Victoria University,2009,non-aligned,73.0,5.0,78.0,False,Victoria University,,8325502,0.0,372919.0,8325502.0
3004,Western Sydney University,2009,IRU,97.0,14.0,111.0,False,Western Sydney University,,13916031,0.0,1378946.0,13916031.0
3006,Australian Catholic University,2008,non-aligned,29.0,2.0,31.0,True,Australian Catholic University,,2648158,0.0,150145.0,2648158.0
3003,Bond University ,2008,non-aligned,10.0,2.0,12.0,True,Bond University ,,815549,0.0,36888.0,815549.0
2200,Central Queensland University,2008,RUN,13.0,10.0,23.0,False,Central Queensland University,,4613045,0.0,270412.0,4613045.0
3001,Charles Darwin University,2008,non-aligned,22.0,2.0,24.0,True,Charles Darwin University,,7017139,0.0,1474626.0,7017139.0
3005,Charles Sturt University,2008,RUN,57.0,6.0,63.0,False,Charles Sturt University,,6831375,0.0,1107007.0,6831375.0
2236,Curtin University,2008,ATN,144.0,33.0,177.0,False,Curtin University,,25081456,0.0,2365708.0,25081456.0
3030,Deakin University,2008,ATN,131.0,14.0,145.0,False,Deakin University,,17913399,0.0,2193763.0,17913399.0
2235,Edith Cowan University,2008,non-aligned,58.0,34.0,92.0,False,Edith Cowan University,,7821100,0.0,458096.0,7821100.0
2154,Federation University Australia,2008,RUN,19.0,8.0,27.0,False,Federation University Australia,,3271713,0.0,210317.0,3271713.0
3029,Flinders University,2008,IRU,108.0,13.0,121.0,False,Flinders University,,21538943,0.0,2943988.0,21538943.0
3032,Griffith University,2008,IRU,126.0,20.0,146.0,False,Griffith University,,24393134,0.0,2505358.0,24393134.0
1019,James Cook University,2008,IRU,45.0,17.0,62.0,False,James Cook University,,16271433,0.0,1825136.0,16271433.0
3020,La Trobe University,2008,IRU,72.0,20.0,92.0,False,La Trobe University,,23767440,0.0,2544903.0,23767440.0
3025,Macquarie University,2008,non-aligned,177.0,31.0,208.0,False,Macquarie University,,22609891,0.0,3438184.0,22609891.0
3035,Monash University,2008,Go8,434.0,102.0,536.0,False,Monash University,,93388067,0.0,17954700.0,93388067.0
1034,Murdoch University,2008,IRU,41.0,7.0,48.0,False,Murdoch University,,18761804,0.0,2311299.0,18761804.0
3042,Queensland University of Technology,2008,non-aligned,167.0,81.0,248.0,False,Queensland University of Technology,,25551483,0.0,3301793.0,25551483.0
3034,Royal Melbourne Institute of Technology,2008,ATN,171.0,96.0,267.0,False,Royal Melbourne Institute of Technology,,23994266,0.0,1649788.0,23994266.0
3038,Southern Cross University,2008,RUN,49.0,6.0,55.0,False,Southern Cross University,,6253039,0.0,348351.0,6253039.0
2177,Swinburne University of Technology,2008,non-aligned,90.0,7.0,97.0,False,Swinburne University of Technology,,10825775,0.0,1158615.0,10825775.0
3033,The Australian National University,2008,Go8,317.0,24.0,341.0,False,The Australian National University,,72702215,0.0,17881023.0,72702215.0
3010,The University of Adelaide,2008,Go8,265.0,33.0,298.0,False,The University of Adelaide,,63198000,0.0,13640873.0,63198000.0
3036,The University of Melbourne,2008,Go8,558.0,162.0,720.0,False,The University of Melbourne,,144250764,0.0,27095313.0,144250764.0
3044,The University of Notre Dame Australia,2008,non-aligned,7.0,0.0,7.0,False,The University of Notre Dame Australia,,556266,0.0,17996.0,556266.0
3019,The University of Queensland,2008,Go8,517.0,81.0,598.0,False,The University of Queensland,,115319577,0.0,21359168.0,115319577.0
3040,The University of Sydney,2008,Go8,529.0,146.0,675.0,False,The University of Sydney,,128473882,0.0,24526809.0,128473882.0
1055,The University of Western Australia,2008,Go8,262.0,53.0,315.0,False,The University of Western Australia,,68891793,0.0,14359070.0,68891793.0
2241,University of Canberra,2008,IRU,25.0,8.0,33.0,False,University of Canberra,,5279764,0.0,478475.0,5279764.0
4331,University of Divinity,2008,non-aligned,5.0,13.0,18.0,False,University of Divinity,,1018223,0.0,0.0,1018223.0
3039,University of New England,2008,RUN,69.0,21.0,90.0,False,University of New England,,14778542,0.0,1583842.0,14778542.0
3013,University of New South Wales,2008,Go8,430.0,123.0,553.0,False,University of New South Wales,,96138413,0.0,16652755.0,96138413.0
3014,University of Newcastle,2008,ATN,122.0,29.0,151.0,False,University of Newcastle,,30017504,0.0,5336427.0,30017504.0
3027,University of South Australia,2008,ATN,117.0,18.0,135.0,False,University of South Australia,,19784043,0.0,2145288.0,19784043.0
2201,University of Southern Queensland,2008,RUN,29.0,11.0,40.0,False,University of Southern Queensland,,4016355,0.0,423019.0,4016355.0
