HEP Code,Higher Education Provider,Year,State/Territory,Cohort,Doctorate by Research,Masters by Research
2200,Central Queensland University,2023,QLD,RUN,31,21
3001,Charles Darwin University,2023,NT,non-aligned,44,6
3005,Charles Sturt University,2023,NSW,RUN,58,5
2236,Curtin University,2023,WA,ATN,259,38
3030,Deakin University,2023,VIC,ATN,313,18
2235,Edith Cowan University,2023,WA,non-aligned,106,34
2154,Federation University Australia,2023,VIC,RUN,38,6
3029,Flinders University,2023,SA,IRU,135,8
3032,Griffith University,2023,QLD,IRU,294,51
1019,James Cook University,2023,QLD,IRU,99,20
3020,La Trobe University,2023,VIC,IRU,184,58
3025,Macquarie University,2023,NSW,non-aligned,268,247
3035,Monash University,2023,VIC,Go8,968,55
1034,Murdoch University,2023,WA,IRU,92,43
3042,Queensland University of Technology,2023,QLD,non-aligned,285,95
3034,Royal Melbourne Institute of Technology,2023,VIC,ATN,400,35
3038,Southern Cross University,2023,NSW,RUN,42,11
2177,Swinburne University of Technology,2023,VIC,non-aligned,226,24
3033,The Australian National University,2023,ACT,Go8,377,26
3010,The University of Adelaide,2023,SA,Go8,326,60
3036,The University of Melbourne,2023,VIC,Go8,764,96
3044,The University of Notre Dame Australia,2023,WA,non-aligned,17,16
3019,The University of Queensland,2023,QLD,Go8,741,56
3040,The University of Sydney,2023,NSW,Go8,780,163
1055,The University of Western Australia,2023,WA,Go8,335,38
4449,Torrens University Australia,2023,SA,non-aligned,<5,<5
2241,University of Canberra,2023,ACT,IRU,77,7
4331,University of Divinity,2023,VIC,non-aligned,7,0
3039,University of New England,2023,NSW,RUN,75,15
3013,University of New South Wales,2023,NSW,Go8,717,84
3014,University of Newcastle,2023,NSW,ATN,229,8
3027,University of South Australia,2023,SA,ATN,137,36
2201,University of Southern Queensland,2023,QLD,RUN,102,34
3045,University of Tasmania,2023,TAS,non-aligned,233,10
3016,University of Technology Sydney,2023,NSW,ATN,341,23
3043,University of the Sunshine Coast,2023,QLD,RUN,63,8
1058,University of Wollongong,2023,NSW,non-aligned,218,24
3007,Victoria University,2023,VIC,non-aligned,61,24
3004,Western Sydney University,2023,NSW,IRU,193,84
3006,Australian Catholic University,2022,OTHER,non-aligned,36,<5
2252,Avondale University ,2022,NSW,non-aligned,<5,0
2246,Batchelor Institute of Indigenous Tertiary Education,2022,NT,non-aligned,0,0
3003,Bond University ,2022,QLD,non-aligned,27,5
2200,Central Queensland University,2022,QLD,RUN,37,22
3001,Charles Darwin University,2022,NT,non-aligned,46,<5
3005,Charles Sturt University,2022,NSW,RUN,61,<5
2236,Curtin University,2022,WA,ATN,265,38
3030,Deakin University,2022,VIC,ATN,297,21
2235,Edith Cowan University,2022,WA,non-aligned,88,41
2154,Federation University Australia,2022,VIC,RUN,39,<5
3029,Flinders University,2022,SA,IRU,125,7
3032,Griffith University,2022,QLD,IRU,269,54
1019,James Cook University,2022,QLD,IRU,110,17
3020,La Trobe University,2022,VIC,IRU,197,84
3025,Macquarie University,2022,NSW,non-aligned,209,272
3035,Monash University,2022,VIC,Go8,898,60
1034,Murdoch University,2022,WA,IRU,111,39
3042,Queensland University of Technology,2022,QLD,non-aligned,328,86
3034,Royal Melbourne Institute of Technology,2022,VIC,ATN,349,35
3038,Southern Cross University,2022,NSW,RUN,37,8
2177,Swinburne University of Technology,2022,VIC,non-aligned,223,32
3033,The Australian National University,2022,ACT,Go8,324,37
3010,The University of Adelaide,2022,SA,Go8,378,61
3036,The University of Melbourne,2022,VIC,Go8,670,64
3044,The University of Notre Dame Australia,2022,WA,non-aligned,24,18
3019,The University of Queensland,2022,QLD,Go8,710,57
3040,The University of Sydney,2022,NSW,Go8,639,178
1055,The University of Western Australia,2022,WA,Go8,321,28
4449,Torrens University Australia,2022,SA,non-aligned,10,<5
2241,University of Canberra,2022,ACT,IRU,48,5
4331,University of Divinity,2022,VIC,non-aligned,13,0
3039,University of New England,2022,NSW,RUN,79,13
3013,University of New South Wales,2022,NSW,Go8,690,97
3014,University of Newcastle,2022,NSW,ATN,284,12
3027,University of South Australia,2022,SA,ATN,119,37
2201,University of Southern Queensland,2022,QLD,RUN,117,20
3045,University of Tasmania,2022,TAS,non-aligned,222,17
3016,University of Technology Sydney,2022,NSW,ATN,313,37
3043,University of the Sunshine Coast,2022,QLD,RUN,56,6
