HEP_Code,Institution,Cohort,Year,is_go8,is_covid_year,growth_hdr_completions_pct,growth_rbg_total_pct,growth_rbg_rtp_pct,growth_rbg_rsp_pct
2200,Central Queensland University,RUN,2018,0,0,-13.613217432458002,-0.40098844750460216,1.7671750521879304,-3.425942709385943
2200,Central Queensland University,RUN,2019,0,0,0.0,4.508232579156335,5.606819404428798,2.913854864429055
2200,Central Queensland University,RUN,2020,0,0,-11.000089521432876,4.204516982312256,1.9189228506130362,7.474402811028291
2200,Central Queensland University,RUN,2021,0,1,-2.3530497410193973,41.248140111602005,0.25914398536563965,79.6331498563836
2200,Central Queensland University,RUN,2022,0,0,33.98678256223513,-32.64218212201637,0.23198985382837378,-60.730310405072885
2200,Central Queensland University,RUN,2023,0,0,-12.629372532429217,7.6749407098736455,4.031902786555719,11.732410144463223
2200,Central Queensland University,RUN,2024,0,0,32.542240043462776,6.352952272171919,10.395532081887815,1.8310133706531673
2201,University of Southern Queensland,RUN,2016,0,0,36.51138125845969,6.1188519388094775,0.0,10.210493970469159
2201,University of Southern Queensland,RUN,2017,0,0,-8.594242980072497,0.4832604910861349,1547.2776457538198,3.1035719451731225
2201,University of Southern Queensland,RUN,2018,0,0,7.410797215372167,3.117624028986299,0.9390180470386866,6.73516450933942
2201,University of Southern Queensland,RUN,2019,0,0,21.357410029805912,0.4699102672269362,0.29252090145650556,0.7553970427045087
2201,University of Southern Queensland,RUN,2020,0,0,9.180754925312318,7.352565348458917,4.767515563356461,11.36836141163311
2201,University of Southern Queensland,RUN,2021,0,1,16.907633004393396,51.11353100304932,7.951693385822267,93.4374173400343
2201,University of Southern Queensland,RUN,2022,0,0,1.4706147389695445,-23.31220942420451,25.831527407622445,-75.35960193960972
2201,University of Southern Queensland,RUN,2023,0,0,-0.7326040092072716,7.20850750801425,10.427297382398848,1.28338150046865
2201,University of Southern Queensland,RUN,2024,0,0,-3.745756253490118,20.712302699563523,16.550478405293134,28.27467971407458
2235,Edith Cowan University,non-aligned,2016,0,0,-32.0471895274772,4.801374522165247,0.0,5.3445863194552246
2235,Edith Cowan University,non-aligned,2017,0,0,14.458122881110747,1.3439574995523174,1580.3994309435789,2.1322857013382546
2235,Edith Cowan University,non-aligned,2018,0,0,9.180754925312318,-3.0103536019517207,-2.764656701529944,-3.4259362537254034
2235,Edith Cowan University,non-aligned,2019,0,0,-5.4067221270275745,-4.914162590138815,-4.787593754300268,-5.129323153404464
2235,Edith Cowan University,non-aligned,2020,0,0,5.4067221270275745,-1.4671283510590882,-0.38037050064030353,-3.3453415592216373
2235,Edith Cowan University,non-aligned,2021,0,1,-13.102826240640386,28.4388155060455,-1.0090603565435785,65.41822837439906
2235,Edith Cowan University,non-aligned,2022,0,0,25.464221837358014,-35.51753878890658,-4.096666681058636,-76.05469779953076
2235,Edith Cowan University,non-aligned,2023,0,0,8.183001824763192,4.087159385448302,2.6009850904722853,6.7852036285440676
2235,Edith Cowan University,non-aligned,2024,0,0,-0.7168489478612372,7.7015083332785395,6.491445745562174,9.817348505653634
2236,Curtin University,ATN,2016,0,0,5.009394531891509,5.1199943600959585,0.0,8.900311795862237
2236,Curtin University,ATN,2017,0,0,11.088269957874264,6.579028820691235,1704.7034378644018,12.713389473400838
2236,Curtin University,ATN,2018,0,0,-10.438917026819361,3.3547387748694035,2.1142384351481525,5.003107652203198
2236,Curtin University,ATN,2019,0,0,5.048390543199144,2.277668858603832,1.6909502190426196,3.0409499748056845
2236,Curtin University,ATN,2020,0,0,6.8377297444737195,2.871990449042272,3.2513682066912963,2.379624249475043
2236,Curtin University,ATN,2021,0,1,-4.4059989794030585,40.658119418440464,2.386865225929924,75.33572486295341
2236,Curtin University,ATN,2022,0,0,-9.440968447107512,-36.16577456900316,5.074000051216032,-74.85004352053046
2236,Curtin University,ATN,2023,0,0,-2.0000666706669,0.922112086642457,1.344857082251849,0.3282466453665478
2236,Curtin University,ATN,2024,0,0,1.0050335853501124,7.181297617755433,3.529677759232186,12.120182910513222
2241,University of Canberra,IRU,2016,0,0,-9.937247381320446,4.730426750690242,0.0,5.208285631614018
2241,University of Canberra,IRU,2017,0,0,-1.5037877364540542,0.038307361880640656,1545.358393387249,2.1322734131096865
