RowKey,HEP_Code,Institution,Cohort,Year,g_rbg_total_pct,g_hdr_completions_next_year_pct
3032_2023,3032,Griffith University,IRU,2023,1.684535364287143,-16.337180801429252
3033_2016,3033,The Australian National University,Go8,2016,2.9115747448727802,15.979244373392643
3033_2017,3033,The Australian National University,Go8,2017,9.373046110373195,-18.73977098258157
3033_2018,3033,The Australian National University,Go8,2018,3.982251947785187,2.760526609188929
3033_2019,3033,The Australian National University,Go8,2019,2.4202949839551735,-16.953240067763353
3033_2020,3033,The Australian National University,Go8,2020,2.370934258531676,-6.176459425484637
3033_2022,3033,The Australian National University,Go8,2022,-53.87271244510359,11.005860361380204
3033_2023,3033,The Australian National University,Go8,2023,-3.06831648299557,7.410797215372256
3034_2016,3034,Royal Melbourne Institute of Technology,ATN,2016,6.571012636674212,20.002113389335552
3034_2017,3034,Royal Melbourne Institute of Technology,ATN,2017,3.8156634307966897,-14.445128273854468
3034_2018,3034,Royal Melbourne Institute of Technology,ATN,2018,-1.369586211766105,18.737632745557864
3034_2019,3034,Royal Melbourne Institute of Technology,ATN,2019,-2.264931858678665,-0.5617992304222774
3034_2020,3034,Royal Melbourne Institute of Technology,ATN,2020,-0.04021287993971612,1.8397365139716015
3034_2022,3034,Royal Melbourne Institute of Technology,ATN,2022,-22.75594934766083,12.470347850095731
3034_2023,3034,Royal Melbourne Institute of Technology,ATN,2023,10.679061524601252,-2.7973852042406655
3035_2016,3035,Monash University,Go8,2016,5.475864816785148,7.833184326990761
3035_2017,3035,Monash University,Go8,2017,6.499098618356669,0.6825965070399675
3035_2018,3035,Monash University,Go8,2018,2.838351440721709,-2.9921679865049455
3035_2019,3035,Monash University,Go8,2019,-0.21194042774901334,-1.530341813988656
3035_2020,3035,Monash University,Go8,2020,3.854671132221199,9.635456632223072
3035_2022,3035,Monash University,Go8,2022,-36.29851294925892,6.564698798076574
3035_2023,3035,Monash University,Go8,2023,4.6937857755906975,-13.478899077811235
3036_2016,3036,The University of Melbourne,Go8,2016,-0.921294991273669,-8.81218712736569
3036_2017,3036,The University of Melbourne,Go8,2017,3.2982023544313677,21.31544318299845
3036_2018,3036,The University of Melbourne,Go8,2018,3.1134927535742207,-5.537398395214765
3036_2019,3036,The University of Melbourne,Go8,2019,3.5682087267844054,-6.965857660417996
3036_2020,3036,The University of Melbourne,Go8,2020,2.937643826124159,0.8207980417829219
3036_2022,3036,The University of Melbourne,Go8,2022,-36.48309278047819,15.842336063303808
3036_2023,3036,The University of Melbourne,Go8,2023,5.000633684460709,1.7291497110060838
3038_2016,3038,Southern Cross University,RUN,2016,-3.808046999009207,-16.430305129127554
3038_2017,3038,Southern Cross University,RUN,2017,-2.4916890701497607,-19.671029424605457
3038_2018,3038,Southern Cross University,RUN,2018,-2.249662136238051,-27.329333499968158
3038_2019,3038,Southern Cross University,RUN,2019,-3.6994362780045975,10.821358464023279
3038_2020,3038,Southern Cross University,RUN,2020,-1.8895727962279452,-21.868920096483002
3038_2022,3038,Southern Cross University,RUN,2022,-49.40116300249979,16.362942378180236
3038_2023,3038,Southern Cross University,RUN,2023,14.853372306924761,-5.8268908123976
3039_2016,3039,University of New England,RUN,2016,3.3720349950495887,-12.188981760903683
3039_2017,3039,University of New England,RUN,2017,3.492122456318114,-22.778393087071258
3039_2018,3039,University of New England,RUN,2018,0.035204865231719396,7.825219689974894
3039_2019,3039,University of New England,RUN,2019,0.6924115514937768,9.23733201310144
3039_2020,3039,University of New England,RUN,2020,1.229504059039499,-22.31435513142097
3039_2022,3039,University of New England,RUN,2022,-35.076732989606896,-2.197890671877545
3039_2023,3039,University of New England,RUN,2023,2.8239642951191968,-8.096906253366676
3040_2016,3040,The University of Sydney,Go8,2016,0.18771175585747812,2.040887163120697
3040_2017,3040,The University of Sydney,Go8,2017,2.036056872690395,-79.34078655241264
3040_2018,3040,The University of Sydney,Go8,2018,0.5021359700723593,75.33338141950594
3040_2019,3040,The University of Sydney,Go8,2019,-3.0664236001879175,-15.785691639196386
3040_2020,3040,The University of Sydney,Go8,2020,-0.8242942140135767,-0.8531435049468961
3040_2022,3040,The University of Sydney,Go8,2022,-43.10101997008147,14.342718777345453
3040_2023,3040,The University of Sydney,Go8,2023,7.535763475996404,-10.382993314909506
3042_2016,3042,Queensland University of Technology,non-aligned,2016,5.231920929577072,-1.4018921179330235
3042_2017,3042,Queensland University of Technology,non-aligned,2017,5.012852082561636,2.7844026171172764
3042_2018,3042,Queensland University of Technology,non-aligned,2018,1.5827199581018192,-2.549384882621908
3042_2019,3042,Queensland University of Technology,non-aligned,2019,-1.9133896419113228,0.9345862418236983
3042_2020,3042,Queensland University of Technology,non-aligned,2020,-0.18630717539380726,-6.770379621982148
3042_2022,3042,Queensland University of Technology,non-aligned,2022,-40.93181482247488,-8.569472110488263
3042_2023,3042,Queensland University of Technology,non-aligned,2023,8.706488252725464,6.371581438610718
3043_2016,3043,University of the Sunshine Coast,RUN,2016,13.674215327878336,5.715841383994835
3043_2017,3043,University of the Sunshine Coast,RUN,2017,7.938747634365129,65.05875661411497
