HEP_Code,Institution,Cohort,Year,hdr_completions,total_completions,rbg_total,rbg_rtp,rbg_rsp,is_go8,Go8_Label,rbg_per_hdr_completion,is_covid_year
3001,Charles Darwin University,non-aligned,2022,48.0,2314.0,18205976,8041855.0,10164121.0,0,Rest of sector,379291.1666666667,0
3005,Charles Sturt University,RUN,2022,63.0,8455.0,6653576,4489624.0,2163952.0,0,Rest of sector,105612.31746031746,0
2236,Curtin University,ATN,2022,303.0,10225.0,50218883,29273950.0,20944933.0,0,Rest of sector,165738.88778877887,0
3030,Deakin University,ATN,2022,318.0,13562.0,37132978,20839807.0,16293171.0,0,Rest of sector,116770.3710691824,0
2235,Edith Cowan University,non-aligned,2022,129.0,6398.0,9870049,6411545.0,3458504.0,0,Rest of sector,76512.00775193798,0
2154,Federation University Australia,RUN,2022,41.0,3071.0,3633062,2572241.0,1060821.0,0,Rest of sector,88611.26829268293,0
3029,Flinders University,IRU,2022,132.0,5876.0,27011611,15217026.0,11794585.0,0,Rest of sector,204633.41666666666,0
3032,Griffith University,IRU,2022,323.0,10331.0,41470890,25154439.0,16316451.0,0,Rest of sector,128392.84829721363,0
1019,James Cook University,IRU,2022,127.0,4807.0,18513891,11195924.0,7317967.0,0,Rest of sector,145778.6692913386,0
3020,La Trobe University,IRU,2022,281.0,8328.0,34441123,18453725.0,15987398.0,0,Rest of sector,122566.2740213523,0
3025,Macquarie University,non-aligned,2022,481.0,9048.0,47352472,30316330.0,17036142.0,0,Rest of sector,98445.88773388774,0
3035,Monash University,Go8,2022,958.0,24217.0,199664092,102424908.0,97239184.0,1,Go8,208417.63256784968,0
1034,Murdoch University,IRU,2022,150.0,4857.0,17329915,9827392.0,7502523.0,0,Rest of sector,115532.76666666666,0
3042,Queensland University of Technology,non-aligned,2022,414.0,11361.0,48384663,29068532.0,19316131.0,0,Rest of sector,116871.16666666667,0
3034,Royal Melbourne Institute of Technology,ATN,2022,384.0,18671.0,38172479,24817631.0,13354848.0,0,Rest of sector,99407.49739583333,0
3038,Southern Cross University,RUN,2022,45.0,4183.0,6153108,3326464.0,2826644.0,0,Rest of sector,136735.73333333334,0
2177,Swinburne University of Technology,non-aligned,2022,255.0,7616.0,22787199,14242555.0,8544644.0,0,Rest of sector,89361.56470588235,0
3033,The Australian National University,Go8,2022,361.0,6837.0,115213731,53648762.0,61564969.0,1,Go8,319151.6094182826,0
3010,The University of Adelaide,Go8,2022,439.0,7260.0,86963681,46169968.0,40793713.0,1,Go8,198094.94533029612,0
3036,The University of Melbourne,Go8,2022,734.0,21630.0,222931509,111813256.0,111118253.0,1,Go8,303721.4019073569,0
3044,The University of Notre Dame Australia,non-aligned,2022,42.0,2730.0,2183156,1702450.0,480706.0,0,Rest of sector,51979.90476190476,0
3019,The University of Queensland,Go8,2022,767.0,13930.0,191682874,100217285.0,91465589.0,1,Go8,249912.48239895698,0
3040,The University of Sydney,Go8,2022,817.0,21113.0,178391184,90173615.0,88217569.0,1,Go8,218349.0624235006,0
1055,The University of Western Australia,Go8,2022,349.0,6376.0,85334005,42513528.0,42820477.0,1,Go8,244510.0429799427,0
4449,Torrens University Australia,non-aligned,2022,12.0,5765.0,403109,193670.0,209439.0,0,Rest of sector,33592.416666666664,0
2241,University of Canberra,IRU,2022,53.0,3801.0,8442763,4366091.0,4076672.0,0,Rest of sector,159297.4150943396,0
4331,University of Divinity,non-aligned,2022,13.0,392.0,1105180,636254.0,468926.0,0,Rest of sector,85013.84615384616,0
3039,University of New England,RUN,2022,92.0,3650.0,17409091,9261262.0,8147829.0,0,Rest of sector,189229.25,0
3013,University of New South Wales,Go8,2022,787.0,17938.0,193565978,96402360.0,97163618.0,1,Go8,245954.22871664548,0
3014,University of Newcastle,ATN,2022,296.0,7746.0,51244345,27539140.0,23705205.0,0,Rest of sector,173122.78716216216,0
3027,University of South Australia,ATN,2022,156.0,7494.0,31891857,15858732.0,16033125.0,0,Rest of sector,204434.98076923078,0
2201,University of Southern Queensland,RUN,2022,137.0,3721.0,12246883,7807530.0,4439353.0,0,Rest of sector,89393.30656934307,0
3045,University of Tasmania,non-aligned,2022,239.0,12502.0,45790877,25859741.0,19931136.0,0,Rest of sector,191593.62761506275,0
3016,University of Technology Sydney,ATN,2022,350.0,11273.0,42575185,25973884.0,16601301.0,0,Rest of sector,121643.38571428572,0
3043,University of the Sunshine Coast,RUN,2022,62.0,2940.0,11382454,6211468.0,5170986.0,0,Rest of sector,183587.96774193548,0
1058,University of Wollongong,non-aligned,2022,254.0,7279.0,36898549,22728971.0,14169578.0,0,Rest of sector,145269.8779527559,0
3007,Victoria University,non-aligned,2022,101.0,5629.0,9550925,6504162.0,3046763.0,0,Rest of sector,94563.61386138614,0
3004,Western Sydney University,IRU,2022,194.0,11804.0,22321219,14151147.0,8170072.0,0,Rest of sector,115057.82989690722,0
3006,Australian Catholic University,non-aligned,2021,41.0,7243.0,8899357,3968872.0,4930485.0,0,Rest of sector,217057.48780487804,1
2246,Batchelor Institute of Indigenous Tertiary Education,non-aligned,2021,2.0,2.0,434940,139526.0,295414.0,0,Rest of sector,217470.0,1
